Owner,Brand,Ownership Type,Notes
Post,Better Oats,Megacorp,
Tim McCollum,Beyond Good,Founder owned,
Bigelow Family,Bigelow,Family owned,Third generation now. Cindi Bigelow is current CEO & president
Evan Hafer,Black Rifle Coffee Co.,Founder owned,Veteran owned. Hafer was a green beret for 15 years.
Farmer's co-op,Blue Diamond,Co-op,"Almond farmers in California, since 1910."
Laura Modi & Sarah Hardy,Bobbie,Female founder owned,"Legit as hell. New company, full of energy and advocacy. Check them out."
Coca-cola,Body Armor,Megacorp,
Charlie Investors,Bouchard,Private Equity,Bouchard was bought by Halloren which is controlled by Charlie Investors which is primarily controlled by two German families is what it seems like.
Daniel Giraudo,Boudin Sourdoug,Family owned,"Founded in 1849, it's the oldest continually running business in San Francisco. In 1941 it was bought by Steven Giraudo who worked there. Then it was sold around several times before being repurchased by Steven grandson Daniel in 2002."
Post,Bran Flakes,Megacorp,
Dare foods,Breton,Family owned,Canadian family owned since 1889
Unilever,Breyer's,Megacorp,
La Costena,Brianna's dressing,Megacorp,
Ferrero Group,Butterfinger,Family owned,
Nutrabolt,C4,Private Equity,Also getting a lot of money from Keurig-Dr. Pepper
Cardenas family,Cacique,Family owned,
J. M. Smucker,Cafe Bustelo,Megacorp,
Gruma Corp.,Calidad,Megacorp,
Nestle,California Pizza Kitchen,Megacorp,
King juice company,Calypso Lemonade,Private Equity,
PepsiCo,Cap'n Crunch,Megacorp,
Pladis Global,Carrs,Megacorporation,
Mike Broadwell & Mark Christensen,Cascade Ice,Founder owned,Owned via Unique Beverage Company
Catalina Crunch,Catalina Crunch Cereals,Founder Owned,
Gail Becker,Caulipower,Founder owned,Gail has two sons with celiac disease
Celcius holdings,Celcius,Megacorp,
Hain Celestial Group,Celestial Seasonings,Megacorp,
Dr. Teresa Pursner & Nick Langan,Cerebelly,Female founder owned,"Dr. Pursner is a practicing neurosurgeon, PhD in developmental neurobiology from Stanford and mom of three."
Pergola family,Cheddies,Family owned PE backed,Unclear how much private equity is involved. They've recieved at least $800k plus in PE backing
General Mills,Cheerios,Megacorp,
PepsiCo,Cheetos,Megacorp,
Kellanova,Cheez Its,Megacorporation,"So, apparently last year Kellogg's split into two companies, Kellanova owns a lot of the extra brands they had. Kellogg's, I believe has the cereals..."
General Mills,Chex,Megacorp,
Nabisco,Chicken in a Biscuit,Megacorporation,
Kevin Buck,Chocolate Necesities,Founder owned,My hometown chocolatiers!
Timothy Moley,Chocolove,Founder owned,
Butterfly Equity,Chosen Foods,Private equity,
General Mills,Cinnamon Toast Crunch,Megacorp,
JAB holding company,Clamato,Megacorp,
Kraft-Heinz,Classico,Mega Corporation,Majority owned by Warren Buffet
Kellanova,Club,Megacorporation,
Post,Coco Wheats,Megacorp,
General Mills,Cocoa Puffs,Megacorp,
General Mills,Cookie Crisp,Megacorp,
Kellogg's,Corn Flakes,Megacorp,
Kellogg's,Corn Pops,Megacorp,
Kellogg's,Cracklin' Oat Bran,Megacorp,
C. Cretors & Co,Cretor's Popcorn,Family Owned,
Kellogg's,Crispix,Megacorp,
Nature's Path,Crispy Rice,Founder Family Owned,
Anheuser Busch,Crystal Ice,Megacorp,
Michael Brown,Death Wish Coffe Co.,Founder owned,Apparently this coffee is like 4x as strong as regular coffee because of bean selection and special roasting techniques...
Nestle,Digiorno,Megacorp,
Post,Disney100,Megacorp,
,Dole,Megacorp,
JAB Holding Company,Donut Shop Coffee,Megacorp,Owned via Keurig-Dr. Pepper which is 78% owned by JAB
PepsiCo,Doritos,Megacorp,
Hershey's,Dot's Pretzels,Megacorp,
Mars,Dove,Megacorp,
Nestle,Dreyer's,Megacorp,
Inspire Brands,Dunkin Donuts,Private Equity,
Inspire Brands,Dunkin',Private Equity,"One of the giant PE conglomerates destroying the food service space. They also own Arby's, Sonic, Buffalo Wild Wings, Baskin Robbins, and Rusty Taco."
The Hain Celestial Group,Earth's Best,Megacorp,Have been caught with high levels of toxic heavy metals in their baby food
Joel Dee,Edward & Sons,Family owned,Dude started a whole trading company. Seems like a pretty cool old hippy.
Tata Group,Eight O'Clock Coffee,Megacorp,India's largest conglomorate. $150 billion in revenue last year.
Wayne Zink & Randy Deer,Endangered Species Chocolate,Privately owned,"Super weird, sketchy acquisition where they seem to have stollen the company from the owner after an investment deal went south. The founder then sued for $18 million and they have clearly tried very hard to erase all memory of it from the internet. The only source I could find is here. Bottom line- I spent like half an hour just trying to find out who owns them and that sketches me out and I don't like them..."
Reckitt Benckiser Group,Enfamil,Megacorporation,More than 200 lawsuits pending...
Employee owned,Equal Exchange,Employee owned Co-op,"This seems like it could be pretty sketchy... but a lot more digging would be required to uncover that. Company HQ is in the states, but all the workers and farmers are in third world countries..."
Erin Baker's,Erin Baker's,Founder Family Owned,
Food For Life,Ezekiel 4:9 Cereal,Founder Family Owned,
MTY franchising,Famous Dave's,Private equity,
MTY Food Group,Famous Daves,Megacorporation,Fidelity pickles
Post,Farina Mills,Megacorp,
Ferrero Group,Ferrero,Family owned,"Owned by the Ferrero Family, super secretive and mysterious apparnetly... spooky..."
Ferrero Group,Ferrero,Family owned (ish?),"Owned by the Ferrero Family, super secretive and mysterious apparnetly... spooky..."
General Mills,Fiber One,Megacorp,
Bright Food,Filippo Berio,Mega Corporation,Second largest China based food company
J. M. Smucker,Folgers,Megacorp,
Forager Project,Forager Project Cereals,Founder Owned,Danone has purchased a minority stake in the company
McCormick,Frank's Red Hot,Megacorp,
McCormick,French's,Megacorp,
Schwan's Consumer Brands,Freschetta,CJ CheilJedang,"CJ CheilJedang is a South Korean international food, pharmaceutical, and biotechnology company..."
Saputo family,Frigo,Family owned,"One of the largest producers of ""extended shelf life dairy products"" in the world. (IE this shit aint cheese, even if it is family owned.)"
PepsiCo,Fritos,Megacorp,
Aaron Greenwald & Private Equity,From the Groud Up,Private equity,PE firm Halen Brands seems too involved to call this founder owned. Plus they are acquiring tons of other niche snack brands like greedy little private equity bees.
Kellogg's,Froot Loops,Megacorp,
Kellogg's,Frosted Flakes,Megacorp,
Kellogg's,Frosted Mini Wheats,Megacorp,
Nature's Path,Fruit Juice Sweetened Corn Flakes,Founder Family Owned,
Lactalis,Galbani,Megacorp (French),
Pepsico,Gatorade,Megacorp,
Nestle,Gerber,Megacorp,
Gerber,Gerber Good Start,Megacorporation,"Heavy metals in their baby food, and in their infant formula- though the judge dismissed the case because plaintiffs didn't prove 'financial harm' ... uhhh.... Here is the original government report"
Kraft Heinz,Gevalia,Megacorp,
Chocoladefabriken Lindt & Sprüngli AG,Ghiradelli,Megacorp,Owned by Lindt
Founders backed by Anheuser Busch,Ghost,complicated,Hard to say what's going on here
HACO,Girard's dressing,Private equity,
Retail food group,Gloria Jean's Coffees,Megacorp,Australian based owned by a bunch of big AUS money
Tyson Foods,Glutino,Megacorp,
Tyson Foods,Glutino,Megacorporation,
Coca-cola,Gold Leaf Tea,Megacorp,
Post,Golden Crisp,Megacorp,
General Mills,Golden Grahams,Megacorp,
Campbell's Soup Company,Goldfish,Megacorporation,Pepperidge Farm remembers
Mondelez International,Good Thins,Megacorporation,
Nature's Path,Gorilla Munch,Founder Family Owned,
Post,Grape-Nuts,Megacorp,
Post,Great Grains,Megacorp,
Walmart,Great Value,Megacorp,
Unique Beverage Co,Green Dragon,Founder owned,Same company that makes cascade ice
JAB Holding Company,Green Mountain Coffee Roasters,Megacorp,
Kraft-Heinz,Grey Pupon,Megacorp,
,Guayaki,B-corp,Sends lots of money to rainforest rehab
General Mills,Haggen Das,Megacorp,
Danone,Happy Baby,Megacorp,
Utz Brands,Hawaiian Brand Chips,Megacorp,
JAB holding company,Hawaiian Punch,Megacorp,
Lauren Culbreth,Healthy Teas,Founder owned,
The Hershey Company,Heath,,
Kraft-Heinz,Heinz,Megacorp,
Nature's Path,Heritage Flakes,Founder Family Owned,
Nature's Path,Heritage O's,Founder Family Owned,
The Hershey Company,Hershey's,Megacorp,
The Hershey Company,Hershey's Kisses,Megacorp,
David Smith,Hi-Brew Coffee,Founder owned,
Clorox,Hidden Valley,Megacorp,
High Key Snacks,High Key Cereals,Founder Owned,AJ Patel is the founder and he is a serial entrepreneur if you know what I mean...
Post,Honey Bunches of Oats,Megacorp,
Post,HONEY MAID S’mores,Megacorp,
Post,Honey Ohs!,Megacorp,
Kellogg's,Honey Smacks,Megacorp,
Post,Honeycomb,Megacorp,
Mondelez International,HU,Megacorp,
Conagra Brands,Hunts,Megacorp,
Dominguez Family Foods,Juanitas,Family Owned,Based in Oregon
Dominguez Family Foods,Juantonio's,Family Owned,Based in Oregon
La Costena,Jumex,Megacorp,
Tootsie Roll Industries,Junior Mints,Megacorp,
Paul Newman and Ari Lee-Newman,K'Ul,Founder owned,"Not the Paul Newman of Newman's own, different Paul. This company seems very invested in advocating for worker and farmer rights."
Kellogg's,Kashi,Megacorp,
Crowley & Hannah families,Ken's dressing,Family owned,
Kendal Nutricare,Kendamil,Family owned,Owned by the McMahon family- brothers Dylan and Will and their dad Ross
La Costena,Kern's,Megacorp,
Nature's Path,Keto Organic Cereal,Founder Family Owned,
Ferrero Group,Kinder,Family owned,
Ignite,Kinder BBQ sauce,Private equity,
The Hershey Company,KitKat,Megacorp,
General Mills,Kix,Megacorp,
Nature's Path,Koala Crisp,Founder Family Owned,
Kraft-Heinz,Kraft,Megacorp,
Kellogg's,Krave,Megacorp,
Campbell's Soup Company,Lance,Megacorporation,
Landman Family,Landmark Coffee,Family owned,"Founded by Carl Landman, now run by his son Jim. Not to be confused with the numerous other Landmark coffee companies out there. This one is, I believe, registered as Carl Landman Co., Inc."
Langer family,Langer's,Family owned,
PepsiCo,Lays,Megacorp,
Kraft-Heinz,Lea & Perrins (worstechire sauce),Megacorp,
Dare foods,Lesley Stowe,Family owned,
PepsiCo,Life Cereal,Megacorp,
Pepsico,Lifewater,Megacorp,
The Hershey Company,Lily's,Megacorp,
Chocoladefabriken Lindt & Sprüngli AG,Lindt,Megacorp,Vanguard owns 30% of the shares of Lindt's parent company
Pepsico/Unilever,Lipton,Megacorp,Some sort of split ownership deal.
CVC Capital Partners,Lipton,Private Equity,Bought from Unilever in 2022
"Lisa Barnett, Angela Vranich, Michelle Muller, and Ben Lewis",Little Spoon,Founder owned,
MidOcean,Louisiana Fish Fry,Private equity,
Nature's Path,Love Crunch,Founder Family Owned,
Albertsons,Lucerne,Megacorp,
General Mills,Lucky Charms,Megacorp,
Reily Family,Luzianne,Family owned,
Mars,M&M's,Megacorp,
The Bronner Family,Magic All-one chocolate,Family owned,This is Dr. Bronner's chocolate brand
Magic Spoon,Magic Spoon Cereals,Founder Owned,
Post,Malt-O-Meal,Megacorp,
Post,Malt-O-Meal Hot,Megacorp,
