Brand,Owner,Ownership Type,Notes,Category,Subcategory
Jumex,La Costena,Megacorporation,,Food,Juice
Kern's,La Costena,Megacorporation,,Food,Juice
Clamato,JAB holding company,Megacorporation,,Food,Juice
Hawaiian Punch,JAB holding company,Megacorporation,,Food,Juice
Simple Truth,Kroger,Megacorporation,,Food,Juice
Santa Cruz Organic,Smuckers,Megacorporation,,Food,Juice
RW Knudsen,Smuckers,Megacorporation,,Food,Juice
Calypso Lemonade,King juice company,Private Equity,,Food,Juice
Ocean Spray,Co-op,Farmer's Cooperative,,Food,Juice
Welch's,Co-op,Farmer's Cooperative,,Food,Juice
Sunkist,Co-op,Farmer's Cooperative,,Food,Juice
Tree Top,Co-op,Farmer's Cooperative,,Food,Juice
Martinelli's,Marinelli family,Family owned,,Food,Juice
Langer's,Langer family,Family owned,,Food,Juice
Body Armor,Coca-cola,Megacorporation,,Food,Drinks
Gatorade,Pepsico,Megacorporation,,Food,Drinks
Powerade,Coca-cola,Megacorporation,,Food,Drinks
Lipton,Pepsico/Unilever,Megacorporation,Some sort of split ownership deal. ,Food,Drinks
Truleaf Tea,Pepsico,Megacorporation,,Food,Drinks
Peace Tea,Coca-cola,Megacorporation,,Food,Drinks
Gold Leaf Tea,Coca-cola,Megacorporation,,Food,Drinks
Propel,Pepsico,Megacorporation,,Food,Drinks
Lifewater,Pepsico,Megacorporation,,Food,Drinks
Smartwater,Coca-cola,Megacorporation,,Food,Drinks
Crystal Ice,Anheuser Busch,Megacorporation,,Food,Drinks
Yerbae,Juste went public,Megacorporation,Likely going to get short sold and crushed and then bought out by a big competitor for pennies on the dollar if you ask me,Food,Drinks
Vita Coco,sketchy,sketchy,I think they're in the process of getting bought out by Anheuser Busch,Food,Drinks
Calypso Lemonade,King juice company,Private Equity,,Food,Drinks
Guayaki,"Guayakí Sustainable Rainforest Products, Inc.",B-corp,Sends lots of money to rainforest rehab,Food,Drinks
Cascade Ice,Mike Broadwell & Mark Christensen,Founder owned,Owned via Unique Beverage Company,Food,Drinks
Arizona Iced Tea,Don Voltagio,Founder owned,His story is funny and pretty wild if you wanna look into it.,Food,Drinks
Hidden Valley,Clorox,Megacorporation,,Food,Sauces & Dressings
Wishbone,Unilever,Megacorporation,,Food,Sauces & Dressings
Kraft,Kraft-Heinz,Megacorporation,,Food,Sauces & Dressings
California Pizza Kitchen,Nestle,Megacorporation,,Food,Sauces & Dressings
Brianna's dressing,La Costena,Megacorporation,,Food,Sauces & Dressings
Bernstein's dressing,Conagra Brands,Megacorporation,,Food,Sauces & Dressings
Annie's homegrown,General Mills,Megacorporation,,Food,Sauces & Dressings
Grey Pupon,Kraft-Heinz,Megacorporation,,Food,Sauces & Dressings
French's,McCormick,Megacorporation,,Food,Sauces & Dressings
Best foods mayo,Unilever,Megacorporation,,Food,Sauces & Dressings
Miracel Whip,Kraft-Heinz,Megacorporation,,Food,Sauces & Dressings
Heinz,Kraft-Heinz,Megacorporation,,Food,Sauces & Dressings
Hunts,Conagra Brands,Megacorporation,,Food,Sauces & Dressings
Stub's BBQ,McCormick,Megacorporation,,Food,Sauces & Dressings
A1 Steak sauce,Kraft-Heinz,Megacorporation,,Food,Sauces & Dressings
Lea & Perrins (worstechire sauce),Kraft-Heinz,Megacorporation,,Food,Sauces & Dressings
Frank's Red Hot,McCormick,Megacorporation,,Food,Sauces & Dressings
Walden's Farms dressing,HKW,Private Equity,,Food,Sauces & Dressings
Girard's dressing,HACO ,Private Equity,,Food,Sauces & Dressings
Kinder BBQ sauce,Ignite,Private Equity,,Food,Sauces & Dressings
Famous Dave's,MTY franchising,Private Equity,,Food,Sauces & Dressings
Plochman's,HACO,Private Equity,,Food,Sauces & Dressings
Chosen Foods,Butterfly Equity,Private Equity,,Food,Sauces & Dressings
Louisiana Fish Fry,MidOcean,Private Equity,,Food,Sauces & Dressings
Organicville,"Litehouse, Inc",Employee owned,,Food,Sauces & Dressings
Portlandia Foods,Jeff Bergadine & Michael Deal,Founder owned,,Food,Sauces & Dressings
Tabasco,McIlhenny family,Family owned,,Food,Sauces & Dressings
Beaver mustard,Beaverton Foods,Family owned,,Food,Sauces & Dressings
Sweet Baby Ray's,Ken's Foods,Family owned,,Food,Sauces & Dressings
Sriracha,Huy Fong Foods,Family owned,Tran family owned. Cool origin story,Food,Sauces & Dressings
Ken's dressing,Crowley & Hannah families,Family owned,,Food,Sauces & Dressings
Newman's Own,Newman family,Family owned,,Food,Sauces & Dressings
Starbucks,Starbucks,Megacorporation,,Food,Energy Drinks
Monster,Monster Beverage Corp,Megacorporation,,Food,Energy Drinks
Rein,Coca-Cola,Megacorporation,,Food,Energy Drinks
NOS,Monster Beverage Corp,Megacorporation,,Food,Energy Drinks
Celcius,Celcius holdings,Megacorporation,,Food,Energy Drinks
Bang,Monster Beverage Corp,Megacorporation,Went through bankruptcy in 2023 and got bought,Food,Energy Drinks
Rockstar,Pepsico,Megacorporation,,Food,Energy Drinks
Ghost,Founders backed by Anheuser Busch,complicated,Hard to say what's going on here,Food,Energy Drinks
C4,Nutrabolt,Private Equity,Also getting a lot of money from Keurig-Dr. Pepper,Food,Energy Drinks
Dunkin Donuts,Inspire Brands,Private Equity,,Food,Energy Drinks
Alani Nu,Congo Brands,Founder owned/Private equity backed,,Food,Energy Drinks
Red Bull,Mateschitz & Yoovidhya families,Family owned,I don't know what to make of this,Food,Energy Drinks
Green Dragon,Unique Beverage Co,Founder owned,Same company that makes cascade ice,Food,Energy Drinks
Hi-Brew Coffee,David Smith,Founder owned,,Food,Energy Drinks
Ryse,Noelle Deysel & Nic Stella,Founder owned,"Awesome guys, legit AF. Support them.",Food,Energy Drinks
Talenti,Unilever,Megacorporation,,Food,Ice Cream
Haggen Das,General Mills,Megacorporation,,Food,Ice Cream
Ben & Jerry's,Unilever,Megacorporation,I don't write the rules here guys.,Food,Ice Cream
Dreyer's,Nestle,Megacorporation,,Food,Ice Cream
Breyer's,Unilever,Megacorporation,,Food,Ice Cream
Baskin Robbins,Inspire Brands,Private Equity,Screw these guys,Food,Ice Cream
Tillamook,Farmers Co-op,Co-op,,Food,Ice Cream
Umpqua,Feldkamp family,Family owned,,Food,Ice Cream
Twinnings,Associated British Foods,Megacorporation,,Food,Tea
Celestial Seasonings,Hain Celestial Group,Megacorporation,,Food,Tea
Tetley,Tata consumer products,Megacorporation,"Largest tea company in the UK and Canada, second largest in US",Food,Tea
Teavana,Starbucks,Megacorporation,,Food,Tea
Lipton,CVC Capital Partners,Private Equity,Bought from Unilever in 2022,Food,Tea
Tazo,CVC Capital Partners,Private Equity,Bought from Unilever in 2022,Food,Tea
Yogi,"Drew Sutherland, David Cooper, and Glenn Baginski",Founder owned,Owned via East West Tea Company,Food,Tea
Traditional Medicinals,Sadler Family,Family owned,,Food,Tea
Bigelow,Bigelow Family,Family owned,Third generation now. Cindi Bigelow is current CEO & president,Food,Tea
Luzianne,Reily Family,Family owned,,Food,Tea
Numi,Ahmed Rahim and Reem Hassani,Family owned,"Brother and sister who imigrated from Baghdad, Iraq in 1971",Food,Tea
Healthy Teas,Lauren Culbreth,Founder owned,,Food,Tea
Cheez Its,Kellanova,Megacorporation,"So, apparently last year Kellogg's split into two companies, Kellanova owns a lot of the extra brands they had. Kellogg's, I believe has the cereals...",Food,Crackers
Club,Kellanova,Megacorporation,,Food,Crackers
Zesta,Kellanova,Megacorporation,,Food,Crackers
Town House,Kellanova,Megacorporation,,Food,Crackers
Back to Nature,Barilla,Megacorporation,,Food,Crackers
Wasa,Barilla,Megacorporation,,Food,Crackers
Auntie Annie's,General Mills,Megacorporation,,Food,Crackers
O Organics,Albertson's,Megacorporation,,Food,Crackers
Signature Select,Albertson's,Megacorporation,,Food,Crackers
Goldfish,Campbell's Soup Company,Megacorporation,Pepperidge Farm remembers ,Food,Crackers
Lance,Campbell's Soup Company,Megacorporation,,Food,Crackers
Good Thins,Mondelez International,Megacorporation,,Food,Crackers
Triscuit,Mondelez International,Megacorporation,,Food,Crackers
Ritz,Mondelez International,Megacorporation,,Food,Crackers
Premium Saltines,Nabisco,Megacorporation,,Food,Crackers
Chicken in a Biscuit,Nabisco,Megacorporation,,Food,Crackers
Sonoma Creamery,Atalanta Corporation,Megacorporation,"Technically a private company, but its a big ole monster.",Food,Crackers
Sigdal,United Bakeries Group,Megacorporation,"Complex ownership structure. I think leads up to Agrofert, a European conglomerate.",Food,Crackers
Glutino,Tyson Foods,Megacorporation,,Food,Crackers
Carrs,Pladis Global,Megacorporation,,Food,Crackers
Mary's gone Crackers,Kameda Seika,Megacorporation,I was hoping it would be Mary... but it's not...,Food,Crackers
Sailor Boy,George Weston Limited,Private Equity,,Food,Crackers
From the Groud Up,Aaron Greenwald & Private Equity,Private Equity,PE firm Halen Brands seems too involved to call this founder owned. Plus they are acquiring tons of other niche snack brands like greedy little private equity bees.,Food,Crackers
Sesmark,TH Foods Inc.,Private company,Ownership has passed around over the years. Used to be controlled by Mitsubishi,Food,Crackers
Cheddies,Pergola family,Family owned PE backed,Unclear how much private equity is involved. They've recieved at least $800k plus in PE backing,Food,Crackers
Miltons,Bary Robbins & David Levy,Founder owned/Private equity backed,Unclear how much PE is involved,Food,Crackers
Blue Diamond,Farmer's co-op,Co-op,"Almond farmers in California, since 1910.",Food,Crackers
Patagonia Provisions,Yvon Chouinard,Founder owned,This is the outdoor clothing company. The dude who climbs mountains.,Food,Crackers
Simple Mills,Katlin Smith,Female founder owned,Started this company in her early twenties.,Food,Crackers
Alessi,Alessi family,Family owned,Third generation.,Food,Crackers
Partners,Harris family,Family owned,"Based in Seattle, second generation",Food,Crackers
All American Crackers,Harris family,Family owned,"Based in Seattle, second generation",Food,Crackers
Breton,Dare foods,Family owned,Canadian family owned since 1889,Food,Crackers
Lesley Stowe,Dare foods,Family owned,,Food,Crackers
Vinta,Dare foods,Family owned,I guess Dare is a family owned conglomerate at this point.,Food,Crackers
Edward & Sons,Joel Dee,Family owned,Dude started a whole trading company. Seems like a pretty cool old hippy.,Food,Crackers
Boudin Sourdoug,Daniel Giraudo,Family owned,"Founded in 1849, it's the oldest continually running business in San Francisco. In 1941 it was bought by Steven Giraudo who worked there. Then it was sold around several times before being repurchased by Steven grandson Daniel in 2002.",Food,Crackers
Playtex,Edgewell Personal Care,Megacorporation,,Personal Care,Feminine Hygeine
Tampax,Procter & Gamble,Megacorporation,,Personal Care,Feminine Hygeine
Kotex,Kimberly-Clark,Megacorporation,,Personal Care,Feminine Hygeine
U by Kotex,Kimberly-Clark,Megacorporation,,Personal Care,Feminine Hygeine
Stay Free,Energizer,Megacorporation,,Personal Care,Feminine Hygeine
7th Generation,Unilever,Megacorporation,But they sure looked natural...,Personal Care,Feminine Hygeine
OB Tampons,Edgewell Personal Care,Megacorporation,,Personal Care,Feminine Hygeine
This is L.,Procter & Gamble,Megacorporation,,Personal Care,Feminine Hygeine
Carefree liners,Johnson & Johnson,Megacorporation,,Personal Care,Feminine Hygeine
Attitude,Jean-Francois Bernier,Privately owned,He bought the company when it was teeny tiny and grew it. Apparently not private equity backed...,Personal Care,Feminine Hygeine
Natracare,Susie Hewson,Female founder owned,Since 1989! the GOAT,Personal Care,Feminine Hygeine
Cora ,Molly Haward,Female founder owned,,Personal Care,Feminine Hygeine
August,Nadya Okamoto & Nick Jain,Founder owned,,Personal Care,Feminine Hygeine
The Honey Pot Company,Beatrice Dixon,Female founder owned,There was controversy over an ingredient change. The company was not sold or taken over,Personal Care,Feminine Hygeine
Rael,3 Korean-American Ladies in LA,Female founder owned,Three Kool Korean-American ladies. Legit.,Personal Care,Feminine Hygeine
Lola,Alex Friedman & Jordana Kier,Female founder owned,,Personal Care,Feminine Hygeine
The FLEX Company,Lauren Scholte Wang,Female founder owned,"Disks, cups, etc.",Personal Care,Feminine Hygeine
Dove,Unilever,Megacorporation,,Personal Care,Deoderant
Axe,Unilever,Megacorporation,,Personal Care,Deoderant
Degree,Unilever,Megacorporation,,Personal Care,Deoderant
Speed Stick,Colgate-Palmolive,Megacorporation,,Personal Care,Deoderant
Old Spice,Procter & Gamble,Megacorporation,,Personal Care,Deoderant
Gillete,Procter & Gamble,Megacorporation,,Personal Care,Deoderant
Secret,Procter & Gamble,Megacorporation,,Personal Care,Deoderant
Arm & Hammer,Church & Dwight,Megacorporation,,Personal Care,Deoderant
Schmidt's,Unilever,Megacorporation,,Personal Care,Deoderant
Tom's of Maine,Colgate-Palmolive,Megacorporation,,Personal Care,Deoderant
Native,Procter & Gamble,Megacorporation,,Personal Care,Deoderant
Hello Products,Colgate-Palmolive,Megacorporation,,Personal Care,Deoderant
Michum,Revlon- Ronald Perelman,Private Equity,Skeezy billionaire with lots of questionable connections,Personal Care,Deoderant
Right Guard,Thriving Brands,Private Equity,Private Equity purchased in 2021 from Henkel,Personal Care,Deoderant
Everyman Jack,Private Equity ,Private Equity,"The Carlyle Group- super sketchy, look them up",Personal Care,Deoderant
Crystal,Private Equity ,Private Equity,"French Transit, LLC owned by Juggernaut Capital Partners",Personal Care,Deoderant
Method Products,S.C. Johnson & Son,Private Equity,Private Company 6th richest family in America,Personal Care,Deoderant
Certain Dri,"Clarion Brands, LLC",Private Equity,"Clarion is owned by Bridges Consumer Healthcare, LLC, which is owned by Charlesbank Capital Partners, IE private equity",Personal Care,Deoderant
Lume,Harry's ,Private Equity,"Lume was Harry's first acquisition- Harry's is still controlled by the founders, but they seem to be trying to become mega corporate. Tried to sell out to Edgewell in 2021 but were blocked by the FTC",Personal Care,Deoderant
Dr. Squatch,Jack Haldrop,Founder owned/Private equity backed,Backed by Harlan Capital (and possibly others?),Personal Care,Deoderant
Clean Age,Rachel Peters,Female founder owned,Founded by Rachel Peters- kinda cookie cutter website...,Personal Care,Deoderant
Life Doesn't Stink (Stinkbug Naturals),Ben & Jade Bower,Founder owned,,Personal Care,Deoderant
Humble,Jeff Shardell,Founder owned,"Jeff Shardell- super transparent on website, super natural",Personal Care,Deoderant
Raw Sugar,Donda Mullis & Ronnie Shugar,Founder Family Owned,,Personal Care,Deoderant
Native,Procter & Gamble,Megacorporation,,Personal Care,Shampoo
Sun Bum,SC Johnson & co,Megacorporation,,Personal Care,Shampoo
Maui Moisture,Johnson & Johnson,Megacorporation,,Personal Care,Shampoo
Batiste,Church & Dwight,Megacorporation,,Personal Care,Shampoo
Kenra,Henkel,Megacorporation,,Personal Care,Shampoo
Hair Biology,Procter & Gamble,Megacorporation,,Personal Care,Shampoo
Sexy Hair,Henkel,Megacorporation,,Personal Care,Shampoo
Pantene,Procter & Gamble,Megacorporation,,Personal Care,Shampoo
OGX,Johnson & Johnson,Megacorporation,,Personal Care,Shampoo
Herbal Essences,Procter & Gamble,Megacorporation,,Personal Care,Shampoo
Dove,Unilever,Megacorporation,,Personal Care,Shampoo
TreSemme,Unilever,Megacorporation,,Personal Care,Shampoo
Suave,Unilever,Megacorporation,,Personal Care,Shampoo
Garnier,L'oreal,Megacorporation,,Personal Care,Shampoo
Aussie,Procter & Gamble,Megacorporation,,Personal Care,Shampoo
Axe,Unilever,Megacorporation,,Personal Care,Shampoo
Head & Shoulders,Procter & Gamble,Megacorporation,,Personal Care,Shampoo
Old Spice,Procter & Gamble,Megacorporation,,Personal Care,Shampoo
Viviscal,Church & Dwight,Megacorporation,,Personal Care,Shampoo
Pert Plus,Procter & Gamble,Megacorporation, ,Personal Care,Shampoo
Sebastian Professional,Coty- JAB holding company,Megacorporation,,Personal Care,Shampoo
shea moisture,Unilever,Megacorporation,,Personal Care,Shampoo
Mielle,Procter & Gamble,Megacorporation,,Personal Care,Shampoo
Carol's daughter,L'oreal,Megacorporation,Bettencourt family & Nestle control majority stakes,Personal Care,Shampoo
Bed Head,Unilever via Toni & Guy,Megacorporation,,Personal Care,Shampoo
Renpure,MAV ,Private Equity,,Personal Care,Shampoo
Pure Zero,JM brands,Private Equity,,Personal Care,Shampoo
Hask,Inspired Beauty Brands,Private Equity,,Personal Care,Shampoo
Eva NYC,Bansk Group,Private Equity,,Personal Care,Shampoo
Olaplex,Advent International,Private Equity,,Personal Care,Shampoo
SGX NYC,Tengram Capital Partners,Private Equity,,Personal Care,Shampoo
Marc Anthony,MAV ,Private Equity,,Personal Care,Shampoo
CHI,Farouk Shami,Mystery money,,Personal Care,Shampoo
Revolution,Boohoo is largest shareholder,Corporation (maybe mega?),,Personal Care,Shampoo
Ecoco inc,Nobody knows,Mystery money,,Personal Care,Shampoo
Aunt Jackies,House of Cheatham,Private company,Seems super sketchy,Personal Care,Shampoo
Jozi curls,Capetown Toiletry company,Mystery money,Super fuckin sketchy,Personal Care,Shampoo
hollywood beauty,Mezzanine capital Maven Hill Capital,Private Equity,,Personal Care,Shampoo
Cantu,PDC brands,Private Equity,,Personal Care,Shampoo
Puracy,Branded Group,Private Equity,,Personal Care,Shampoo
Rhyme & Reason,SLG brands,Private Equity,Founded by Miles Dunkley,Personal Care,Shampoo
COLAB,SLG brands,Private Equity,Founded by Miles Dunkley,Personal Care,Shampoo
Monday,Zuru Edge,Private company,CEO Jaimee Lupton is partner of Zuru founder,Personal Care,Shampoo
Fairy Tales Haircare,Risa Barash,Female founder owned,Have sponsored this channel and are awesome! Highly recommended for kids and adults.,Personal Care,Shampoo
Raw Sugar,Ronnie Shugar & Donda Mullis,Founder owned,,Personal Care,Shampoo
Mane 'n Tail,Katzev family,Family owned,Have a hillarious TikTok account- great for animals and for humans,Personal Care,Shampoo
Saltair,Iskra Laurence,Founder owned/Private equity backed,,Personal Care,Shampoo
Odele,"Shannon, Britta, Lindsay",Female founder owned,,Personal Care,Shampoo
Urban Hydration,Psyche Terry,Female founder owned,,Personal Care,Shampoo
Pacifica,Brook Harvey Taylor and husband,Female founder owned,,Personal Care,Shampoo
Not your mothers,Bethany and Rocky Pagliarulo,Founder family owned,,Personal Care,Shampoo
John Freida,John Freida,Founder owned,,Personal Care,Shampoo
It's a 10,Carolyn Aronson,Female founder owned,,Personal Care,Shampoo
Function of beauty,Zahir Dossa,Founder owned,,Personal Care,Shampoo
Aquis ,Britta Cox and Suveen Sahib,Female founder owned,,Personal Care,Shampoo
Clima plex,Simon Ostler,Founder owned - Probably,,Personal Care,Shampoo
Miss Jessie's,Miko Branch,Female founder owned,Bad Ass. RIP to Titi <3,Personal Care,Shampoo
Camille Rose,Janelle Evans,Female founder owned,,Personal Care,Shampoo
As I am,Dr. Ali Syed,Founder owned,,Personal Care,Shampoo
Rizos curls,Julissa Prado,Female founder owned,,Personal Care,Shampoo
Curls,Mahisha Dellinger,Female founder owned,,Personal Care,Shampoo
TGIN,Chris-Tia Donaldson,Female founder owned,,Personal Care,Shampoo
Uncle Funky's Daughter,Renee Morris,Female founder owned,Homegirl literally just bought the company outright with her own pocket money.,Personal Care,Shampoo
Kinky Curly,Shelley Davis,Female founder owned,,Personal Care,Shampoo
TPH,Taraji P Henson,Female founder owned,,Personal Care,Shampoo
The Doux,Maya Smith,Female founder owned,,Personal Care,Shampoo
Colgate,Colgate Palmolive,Megacorporation,,Personal Care,Toothpaste
Crest,Procter & Gamble,Megacorporation,,Personal Care,Toothpaste
Sensodyne,GSK + Pfizer,Megacorporation,,Personal Care,Toothpaste
Perodontax,Haleon,Megacorporation,,Personal Care,Toothpaste
Close-Up,Unilever,Megacorporation,,Personal Care,Toothpaste
AIM,Church & Dwight,Megacorporation,,Personal Care,Toothpaste
Aquafresh,GSK ,Megacorporation,,Personal Care,Toothpaste
Arm & Hammer,Church & Dwight,Megacorporation,,Personal Care,Toothpaste
Hello Products,Colgate Palmolive,Megacorporation,,Personal Care,Toothpaste
Natean,GSK,Megacorporation,,Personal Care,Toothpaste
Burts Bees,Clorox,Megacorporation,,Personal Care,Toothpaste
Native,Procter & Gamble,Megacorporation,,Personal Care,Toothpaste
Toms of Maine,Colgate Palmolive,Megacorporation,,Personal Care,Toothpaste
Twice Oral Wellness,Lenny Kravitz & Julian & Cody Levine,Founder owned,,Personal Care,Toothpaste
CeraVe,L'Oreal,Megacorporation,L'Oreal is majority owned by the investment arm of the Bettencourt-Meyers family alongside Nestle. - https://gulfnews.com/business/markets/worlds-richest-woman-loreal-billionaire-beefs-up-investment-firm-1.1677215003574,Personal Care,Skincare
Garnier,L'Oreal,Megacorporation,,Personal Care,Skincare
La Roche Posay,L'Oreal,Megacorporation,,Personal Care,Skincare
L'Oreal,L'Oreal,Megacorporation,,Personal Care,Skincare
Neutrogena,Johnson & Johnson,Megacorporation,,Personal Care,Skincare
Clean & Clear,Johnson & Johnson,Megacorporation,,Personal Care,Skincare
Aveeno,Johnson & Johnson,Megacorporation,"As of July 2023, they plan to spin off Kenvue as a seperate company.",Personal Care,Skincare
Lubriderm,Johnson & Johnson,Megacorporation,,Personal Care,Skincare
Cetaphil,Galderma- Owned by EQT + Abu Dhabi Investment Authority (ADIA),Megacorporation,"Originally developed by L'Oreal- then sold to Nestle, then sold to consortium of institutional investors EQT+ADIA",Personal Care,Skincare
Differin,Galderma- Owned by EQT + Abu Dhabi Investment Authority (ADIA),Megacorporation,,Personal Care,Skincare
hers,Hims & Hers Health Inc.,Megacorporation,,Personal Care,Skincare
Olay,Procter & Gamble,Megacorporation,,Personal Care,Skincare
Ponds,Unilever,Megacorporation,,Personal Care,Skincare
Shea Moisture,Unilever,Megacorporation,,Personal Care,Skincare
St Ives,Unilever,Megacorporation,,Personal Care,Skincare
Simple,Unilever,Megacorporation,,Personal Care,Skincare
Biore,Kao Corporation,Megacorporation,Based in Tokyo,Personal Care,Skincare
Hero,Church & Dwight,Megacorporation,,Personal Care,Skincare
Sea Breeze,Shiseido,Megacorporation,Based in Japan,Personal Care,Skincare
Burt's Bees,Clorox,Megacorporation,,Personal Care,Skincare
Alba Botanicals,Hain Celestial Group,Megacorporation,,Personal Care,Skincare
Jason,Hain Celestial Group,Megacorporation,,Personal Care,Skincare
Equate Beauty,Walmart ,Megacorporation,,Personal Care,Skincare
Heritage Store,HGGC ,Private Equity,Owned by Neutraceutical which was acquired by HGGC,Personal Care,Skincare
Derma E,Topix Pharmaceuticals,Private Equity,Acquired in 2018,Personal Care,Skincare
Nudy Rudy,Value Max Products,Private Equity,Classic attempt at hiding the parent company from you because it's kinda sus...,Personal Care,Skincare
Dr. Natural,Gary Taneja,Privately owned,Gary Taneja bought the company in 2009,Personal Care,Skincare
Sky Organics,Dean & Steven Neiger,Founder owned,Private equity backed by Nexus Capital Management. Unclear what ownership stake they took.,Personal Care,Skincare
Mad Rabbit,Oliver Zak & Selom Agbitor,Founder owned,"Tattoo specific natural skincare, but lots of great products for general skin wellness",Personal Care,Skincare
Luxe Beauty,Jane May Graves,Female founder owned,"Jane is a chemist and a certified bad ass. One of the highest integrity companies I've found when it comes to natural, non-toxic ingredients. She avoids cheap oils in her products and packages in glass to avoid plastic exposure. Next level. Check out the blog on her website for a bunch of deep dives on the beauty industry and products.",Personal Care,Skincare
Eczema Honey,Minesh Patel,Founder owned,,Personal Care,Skincare
Mother's Shea,Eugenia Akuete,Founder owned,,Personal Care,Skincare
Dr. Bronner's,Bronner's family,Family owned,"Checkout the wikipedia page for a fun read - https://en.wikipedia.org/wiki/Dr._Bronner%27s_Magic_Soaps#:~:text=Bronner's%20Magic%20Soaps%20is%20an,members%20of%20the%20Bronner%20family.",Personal Care,Skincare
Organic By Nature,David Sandoval,Founder owned,Not to be confused with the copious other similarly named brands,Personal Care,Skincare
Rael,3 Korean-American Ladies in LA,Female founder owned,Three Kool Korean-American ladies. Legit.,Personal Care,Skincare
Egyptian Magic,LordPharaoh ImHotepAmonRa,Founder owned,This is not a joke... this is for real.,Personal Care,Skincare
Aztec Secret,Patrick K Roman,Founder owned,,Personal Care,Skincare
Nad's,Sue Ismiel,Founder owned,,Personal Care,Skincare
Dr. Squatch,Jack Haldrup,Founder owned,,Personal Care,Skincare
Would,David Portnoy,Founder owned,"This one's weird. Would is owned by Barstool Brands (like Barstool sports) and Potnoy apparently sold it to Penn entertainment, and then they have sold it back to Portnoy as of 2023 I believe...",Personal Care,Skincare
Duke Cannon,Main Post Partners,Private Equity,,Personal Care,Skincare
Freshwater,Hutcherson Family,Family owned,Based in Australia,Personal Care,Skincare
Best Damn,Main Post Partners,Private Equity,This is just a Duke Cannon brand,Personal Care,Skincare
Off Court,Bani Bahari & Jonathan Lawrence,Family owned,Founders are married. Company is minority owned and backed by private equity Cartograph Ventures and Intonation Ventures,Personal Care,Skincare
Zarbees,Johnson & Johnson,Megacorporation,Owned by Kenvue whic is owned by J&J,Personal Care,Baby Products
Johnsons,Johnson & Johnson,Megacorporation,,Personal Care,Baby Products
Aveeno Baby,Johnson & Johnson,Megacorporation,Owned by Kenvue whic is owned by J&J,Personal Care,Baby Products
Desitin,Johnson & Johnson,Megacorporation,,Personal Care,Baby Products
Orajel,Church & Dwight,Megacorporation,,Personal Care,Baby Products
Shea Moisture Baby,Unilever,Megacorporation,,Personal Care,Baby Products
Vaseline,Unilever,Megacorporation,,Personal Care,Baby Products
Baby Dove,Unilever,Megacorporation,,Personal Care,Baby Products
Huggies,Kimberly-Clark,Megacorporation,,Personal Care,Baby Products
Pull Ups,Kimberly-Clark,Megacorporation,These are just Huggies with a different packaging,Personal Care,Baby Products
Goodnites,Kimberly-Clark,Megacorporation,Formerly Pull Ups Goodnites,Personal Care,Baby Products
Pampers,Procter & Gamble,Megacorporation,,Personal Care,Baby Products
Luvs,Procter & Gamble,Megacorporation,,Personal Care,Baby Products
Burts Bees,Clorox,Megacorporation,,Personal Care,Baby Products
Fisher Price,Matel,Megacorporation,,Personal Care,Baby Products
Little remedies,Prestige Consumer Healthcare Inc,Megacorporation,,Personal Care,Baby Products
Boudrewaux's butt paste,Prestige Consumer Healthcare Inc,Megacorporation,Owned by Fleet Laboratories which is owned by Prestige Consumer Healthcare,Personal Care,Baby Products
Camilia,Boiron,Megacorporation,Based in France and traded on the French exchange. Majority owned by the Boiron family,Personal Care,Baby Products
Aquaphor,Maxingvest AG,Megacorporation,Owned by Biersedorf which is controled by Maxingvest AG which is a circular ownership scheme of the Herz family worth about $8 billion - https://en.wikipedia.org/wiki/Beiersdorf,Personal Care,Baby Products
Ricitos de Oro,Grisi,Megacorporation,"Mystery Mexican megacorp. Big, opaque, hard to tell what they're up to. Doesn't seem great. Obviously just targetting Spanish speaking market",Personal Care,Baby Products
Boogie Wipes,Eleeo Brands,Private Equity,Feels like classic soulless private equity and they've been passed around between private equity companies since 2012,Personal Care,Baby Products
Kandoo Kids,Nehemia Manufacturing,Private Equity? ,Maybe just go see for yourself? Probably better than J&J - https://www.nehemiahmfg.com/our-story/,Personal Care,Baby Products
Hyland's naturals,Standard Homeopathic Co,Private Equity?,"uhhhhh... maybe read this if you're using their teething tablets... Or any of their products. Very opaque, seems sketchy. - https://www.scientificamerican.com/article/hundreds-of-babies-harmed-by-homeopathic-remedies-families-say/",Personal Care,Baby Products
Oilogic,Jordan Morrow & Worth Anne Herrell,Female founder owned,,Personal Care,Baby Products
Raz Baby,Aida and Lidia,Female founder owned,Sisters founded in 2002,Personal Care,Baby Products
Charmin,Procter & Gamble,Megacorporation,,Personal Care,Toilet Paper/Paper Towels
Puffs,Procter & Gamble,Megacorporation,,Personal Care,Toilet Paper/Paper Towels
Bounty,Procter & Gamble,Megacorporation,,Personal Care,Toilet Paper/Paper Towels
Cottonelle,Kimberly-Clark,Megacorporation,,Personal Care,Toilet Paper/Paper Towels
Scott,Kimberly-Clark,Megacorporation,,Personal Care,Toilet Paper/Paper Towels
Kleenex,Kimberly-Clark,Megacorporation,,Personal Care,Toilet Paper/Paper Towels
Viva,Kimberly-Clark,Megacorporation,,Personal Care,Toilet Paper/Paper Towels
