Brand,Owner,Ownership Type,Notes,Category,Subcategory
Calidad,Gruma Corp.,Megacorporation,,Food,Chips & Snacks
South of the Border Chips,Utz Brands,Megacorporation,,Food,Chips & Snacks
Sun Chips,PepsiCo,Megacorporation,,Food,Chips & Snacks
Smartfood Popcorn,PepsiCo,Megacorporation,,Food,Chips & Snacks
Glutino,Tyson Foods,Megacorporation,,Food,Chips & Snacks
Juanitas,Dominguez Family Foods,Family Owned,Based in Oregon,Food,Chips & Snacks
Juantonio's,Dominguez Family Foods,Family Owned,Based in Oregon,Food,Chips & Snacks
Cretor's Popcorn,C. Cretors & Co,Family Owned,,Food,Chips & Snacks
Unique Snacks,Unique Snacks,Family Owned,,Food,Chips & Snacks
One Mighty Mill,One Mighty Mill,Founder owned,Founded by John Olinto,Food,Chips & Snacks
Gerber,Nestle,Megacorporation,,Food,Baby Food
Beach Nut,Oetker Group,Family megacorp,,Food,Baby Food
Earth's Best,The Hain Celestial Group,Megacorporation,Have been caught with high levels of toxic heavy metals in their baby food,Food,Baby Food
Happy Baby,Danone,Megacorporation,,Food,Baby Food
Mama Bear Organics,Amazon,Megacorporation,,Food,Baby Food
Parent's Choice,Walmart,Megacorporation,"Store brand- manufactured by a subsidiary of Pfizer - https://en.wikipedia.org/wiki/List_of_Walmart_brands#:~:text=Parent's%20Choice,-Parent's%20Choice%20is&text=Like%20other%20Walmart%20store%20brands,is%20a%20subsidiary%20of%20Pfizer.",Food,Baby Food
Sprout Organics,Neptune Wellness Solutions,Megacorporation,,Food,Baby Food
Plum Organics,Sun-Maid,Co-op,,Food,Baby Food
Cerebelly ,Dr. Teresa Pursner & Nick Langan,Female founder owned,"Dr. Pursner is a practicing neurosurgeon, PhD in developmental neurobiology from Stanford and mom of three.",Food,Baby Food
Serenity,Serenity & Joe Carr,Family owned,,Food,Baby Food
Once Upon A Farm,Jennifer Garner & John Foraker,Founder owned,,Food,Baby Food
Tiny Organics,"Sofia Laurell, Betsy Fore, Carolyn O'hare",Female founder owned,Big on subscription model,Food,Baby Food
Amara,Jess Sturzenegger,Female founder owned,,Food,Baby Food
Yumi,Angela Sutherland & Evelyn Rusli,Female founder owned,,Food,Baby Food
Little Spoon,"Lisa Barnett, Angela Vranich, Michelle Muller, and Ben Lewis",Founder owned,,Food,Baby Food
Baby gourmet,Jennifer Carlson and Jill Vos,Female founder owned,,Food,Baby Food
